doc_id,title,authors,author_full,year,venue,volume,number,pages,doi_or_url,pdf_path;;;;
"Abramovitz_1986,""Catching up, forging ahead, and falling behind"",Abramovitz,""Abramovitz, Moses"",1986,The Journal of Economic History,46,2,385--406,,corpus/Abramovitz_1986.pdf";;;;
"AcemogluEtAl_2001,The colonial origins of comparative development: An empirical investigation,Acemoglu & Johnson & Robinson,""Acemoglu, Daron"; Johnson, Simon;" Robinson, James"",2001,American Economic Review,91,5,1369--1401,,corpus/AcemogluEtAl_2001.pdf";;
"AcemogluEtAl_2002,Reversal of fortune: Geography and institutions in the making of the modern world income distribution,Acemoglu & Johnson & Robinson,""Acemoglu, Daron"; Johnson, Simon;" Robinson, James"",2002,The Quarterly Journal of Economics,117,4,1231--1294,,corpus/AcemogluEtAl_2002.pdf";;
"Akyeampong&Fofack_2014,The contribution of African women to economic growth and development in the pre-colonial and colonial periods: historical perspectives and policy implications,Akyeampong & Fofack,""Akyeampong, Emmanuel";" Fofack, Hippolyte"",2014,Economic History of Developing Regions,29,1,42--73,,corpus/Akyeampong&Fofack_2014.pdf";;;
"AllenEtAl_2011,""Wages, prices, and living standards in China, 1738--1925: in comparison with Europe, Japan, and Indi"",Allen & Bassino & Ma & Moll-Murata & Van Zanden,""Allen, Robert"; Bassino, Jean-Pascal; Ma, Debin; Moll-Murata, Christine;" Van Zanden, Jan"",2011,The Economic History Review,64,64,8--38,,corpus/AllenEtAl_2011.pdf"
"Allen_2001,The great divergence in European wages and prices from the Middle Ages to the First World War,Allen,""Allen, Robert"",2001,Explorations in Economic History,38,4,411--447,,corpus/Allen_2001.pdf";;;;
"Austin_2007,""Labour and land in Ghana, 1874--1939: a shifting ratio and an institutional revolution"",Austin,""Austin, Gareth"",2007,Australian Economic History Review,47,1,95--120,,corpus/Austin_2007.pdf";;;;
"Austin_2008,The ‘reversal of fortune’ thesis and the compression of history: Perspectives from African and comparative economic history,Austin,""Austin, Gareth"",2008,Journal of International Development: The Journal of the Development Studies Association,20,8,996--1027,,corpus/Austin_2008.pdf";;;;
"Bohannan_1959,The impact of money on an African subsistence economy,Bohannan,""Bohannan, Paul"",1959,The Journal of Economic History,19,4,491--503,,corpus/Bohannan_1959.pdf";;;;
"Bolt&vanZanden_2014,The Maddison Project: collaborative research on historical national accounts,Bolt & Van Zanden,""Bolt, Jutta";" Van Zanden, Jan"",2014,The Economic History Review,67,3,627--651,,corpus/Bolt&vanZanden_2014.pdf";;;
"Braudel&Wallerstein_2009,History and the social sciences: the longue dur{\'e}e,Braudel & Wallerstein,""Braudel, Fernand";" Wallerstein, Immanuel"",2009,Review (Fernand Braudel Center),,,171--203,,corpus/Braudel&Wallerstein_2009.pdf";;;
"Broadberry&Gardner_2022,""Economic growth in Sub-Saharan Africa, 1885--2008: Evidence from eight countries"",Broadberry & Gardner,""Broadberry, Stephen";" Gardner, Leigh"",2022,Explorations in Economic History,83,,101424,,corpus/Broadberry&Gardner_2022.pdf";;;
"Broadberry&Gupta_2006,""The early modern great divergence: wages, prices and economic development in Europe and Asia, 1500--1800"",Broadberry & Gupta,""Broadberry, Stephen";" Gupta, Bishnupriya"",2006,The Economic History Review,59,1,2--31,,corpus/Broadberry&Gupta_2006.pdf";;;
"BroadberryEtal_2015,""India and the great divergence: An Anglo-Indian comparison of GDP per capita, 1600--1871"",Broadberry & Custodis & Gupta,""Broadberry, Stephen"; Custodis, Johann;" Gupta, Bishnupriya"",2015,Explorations in Economic History,55,,58--75,,corpus/BroadberryEtal_2015.pdf";;
"Bryant_2006,""The West and the rest revisited: Debating capitalist origins, European colonialism, and the advent of modernity"",Bryant,""Bryant, Joseph"",2006,Canadian Journal of Sociology/Cahiers canadiens de sociologie,,,403--444,,corpus/Bryant_2006.pdf";;;;
"Bryceson_2002,The scramble in Africa: reorienting rural livelihoods,Bryceson,""Bryceson, Deborah"",2002,World Development,30,5,725--739,,corpus/Bryceson_2002.pdf";;;;
"Clark&Jacks_2007,""Coal and the industrial revolution, 1700--1869"",Clark & Jacks,""Clark, Gregory";" Jacks, David"",2007,European Review of Economic History,11,1,39--72,,corpus/Clark&Jacks_2007.pdf";;;
"Domar_1970,The causes of slavery or serfdom: a hypothesis,Domar,""Domar, Evsey"",1970,The Journal of Economic History,,,1--15,,corpus/Domar_1970.pdf";;;;
"Feinstein_1998,Pessimism perpetuated: real wages and the standard of living in Britain during and after the industrial revolution,Feinstein,""Feinstein, Charles"",1998,The Journal of Economic History,58,3,625--658,,corpus/Feinstein_1998.pdf";;;;
"Frankema&vanWaijenburg_2012,The origins of formal education in sub-Saharan Africa: was British rule more benign?,Frankema,""Frankema, Ewout"",2012,European Review of Economic History,16,4,335--355,,corpus/Frankema&vanWaijenburg_2012.pdf";;;;
"Frankema_2012,The origins of formal education in sub-Saharan Africa: was British rule more benign?,Frankema,""Frankema, Ewout"",2012,European Review of Economic History,16,4,335--355,,corpus/Frankema_2012.pdf";;;;
"Goldin_2006,""The quiet revolution that transformed women's employment, education, and family"",Goldin,""Goldin, Claudia"",2006,American Economic Review,96,2,1--21,,corpus/Goldin_2006.pdf";;;;
"Hopkins_2009,The new economic history of Africa,Hopkins,""Hopkins, Anthony"",2009,The Journal of African History,50,2,155--177,,corpus/Hopkins_2009.pdf";;;;
"Hopkins_2019,Fifty years of African economic history,Hopkins,""Hopkins, Anthony"",2019,Economic History of Developing Regions,34,1,1--15,,corpus/Hopkins_2019.pdf";;;;
"Humphries_2013,The lure of aggregates and the pitfalls of the patriarchal perspective: a critique of the high wage economy interpretation of the British industrial revolution,Humphries,""Humphries, Jane"",2013,The Economic History Review,66,3,693--714,,corpus/Humphries_2013.pdf";;;;
"Koepke&Baten_2005,The biological standard of living in Europe during the last two millennia,Koepke & Baten,""Koepke, Nikola";" Baten, Joerg"",2005,European Review of Economic History,9,1,61--95,,corpus/Koepke&Baten_2005.pdf";;;
"Komlos_1998,Shrinking in a growing economy? The mystery of physical stature during the Industrial Revolution,Komlos,""Komlos, John"",1998,The Journal of Economic History,58,3,779--802,,corpus/Komlos_1998.pdf";;;;
"Kuznets_1973,Modern economic growth: findings and reflections,Kuznets,""Kuznets, Simon"",1973,The American Economic Review,63,3,247--258,,corpus/Kuznets_1973.pdf";;;;
"Lindert&Williamson_1985,""Growth, equality, and history"",Lindert & Williamson,""Lindert, Peter";" Williamson, Jeffrey"",1985,Explorations in Economic History,22,4,341--377,,corpus/Lindert&Williamson_1985.pdf";;;
"McCloskey_2015,""It was ideas and ideologies, not interests or institutions, which changed in Northwestern Europe, 1600--1848"",McCloskey,""McCloskey, Deirdre"",2015,Journal of Evolutionary Economics,25,1,57--68,,corpus/McCloskey_2015.pdf";;;;
"Mokyr_2005,The intellectual origins of modern economic growth,Mokyr,""Mokyr, Joel"",2005,The Journal of Economic History,65,2,285--351,,corpus/Mokyr_2005.pdf";;;;
"North&Weingast_1989,Institutions and economic growth: An historical introduction,North,""North, Douglass"",1989,World Development,17,9,1319--1332,,corpus/North&Weingast_1989.pdf";;;;
"North_1989,Institutions and economic growth: An historical introduction,North,""North, Douglass"",1989,World Development,17,9,1319--1332,,corpus/North_1989.pdf";;;;
"Nunn&Wantchekon_2011,The slave trade and the origins of mistrust in Africa,Nunn & Wantchekon,""Nunn, Nathan";" Wantchekon, Leonard"",2011,American Economic Review,101,7,3221--3252,,corpus/Nunn&Wantchekon_2011.pdf";;;
"Nunn_2008,The long-term effects of Africa's slave trades,Nunn,""Nunn, Nathan"",2008,The Quarterly Journal of Economics,123,1,139--176,,corpus/Nunn_2008.pdf";;;;
"Ogilvie_2007,""‘Whatever is, is right’? Economic institutions in pre-industrial Europe"",Ogilvie,""Ogilvie, Sheilagh"",2007,The Economic History Review,60,4,649--684,,corpus/Ogilvie_2007.pdf";;;;
"Pamuk_2007,""The Black Death and the origins of the ‘Great Divergence’ across Europe, 1300--1600"",Pamuk,""Pamuk, {\c{S}}evket"",2007,European Review of Economic History,11,3,289--317,,corpus/Pamuk_2007.pdf";;;;
"Peters_2004,Inequality and social conflict over land in Africa,Peters,""Peters, Pauline"",2004,Journal of Agrarian Change,4,3,269--314,,corpus/Peters_2004.pdf";;;;
"Ravallion_2001,""Growth, inequality and poverty: looking beyond averages"",Ravallion,""Ravallion, Martin"",2001,World Development,29,11,1803--1815,,corpus/Ravallion_2001.pdf";;;;
"Simson_2019,""Africa's clientelist budget policies revisited: public expenditure and employment in Kenya, Tanzania and Uganda, 1960--2010"",Simson,""Simson, Rebecca"",2019,The Economic History Review,72,4,1409--1438,,corpus/Simson_2019.pdf";;;;
"Skocpol&Sommers_1980,The uses of comparative history in macrosocial inquiry,Skocpol & Somers,""Skocpol, Theda";" Somers, Margaret"",1980,Comparative Studies in Society and History,22,2,174--197,,corpus/Skocpol&Sommers_1980.pdf";;;
"Sokoloff&Engerman_2000,""History lessons: institutions, factor endowments, and paths of development in the new world"",Sokoloff & Engerman,""Sokoloff, Kenneth";" Engerman, Stanley"",2000,Journal of Economic Perspectives,14,3,217--232,,corpus/Sokoloff&Engerman_2000.pdf";;;
"Stern_2004,The rise and fall of the environmental Kuznets curve,Stern,""Stern, David"",2004,World Development,32,8,1419--1439,,corpus/Stern_2004.pdf";;;;
"Stoler_1989,Rethinking colonial categories: European communities and the boundaries of rule,Stoler,""Stoler, Ann"",1989,Comparative Studies in Society and History,31,1,134--161,,corpus/Stoler_1989.pdf";;;;
"Temin_2002,The golden age of European growth reconsidered,Temin,""Temin, Peter"",2002,European Review of Economic History,6,1,3--22,,corpus/Temin_2002.pdf";;;;
"Whatley_2018,The gun-slave hypothesis and the 18th century British slave trade,Whatley,""Whatley, Warren"",2018,Explorations in Economic History,67,,80--104,,corpus/Whatley_2018.pdf";;;;
"Williamson_1996,""Globalization, convergence, and history"",Williamson,""Williamson, Jeffrey"",1996,The Journal of Economic History,56,2,277--306,,corpus/Williamson_1996.pdf";;;;
"deVries_1994,The industrial revolution and the industrious revolution,De Vries,""De Vries, Jan"",1994,The Journal of Economic History,54,2,249--270,,corpus/deVries_1994.pdf";;;;
"vanZanden_1999,""Wages and the standard of living in Europe, 1500--1800"",Van Zanden,""Van Zanden, Jan"",1999,European Review of Economic History,3,2,175--197,,corpus/vanZanden_1999.pdf";;;;
"vanZanden_2009,The skill premium and the ‘Great Divergence’,Van Zanden,""Van Zanden, Jan"",2009,European Review of Economic History,13,1,121--153,,corpus/vanZanden_2009.pdf";;;;
